Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Hybrid_Score,Detection_Result
192.168.1.10-192.168.1.21-0-0-0,192.168.1.21,0,192.168.1.10,0,0,16/03/2026 03:59:42 PM,103361647,101,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.973652761163916,509170.6748768474,511882.3819048541,1031322.0,0.0,102335676.0,1023356.76,3578.431754359172,1032819.0,1016019.0,103361647.0,1013349.4803921568,101388.03592626084,1032321.0,0.0,0,0,0,0,0,0,0.97715161214488,0.996501149019036,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,101,0,103,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label,0.62894404,ATTACK
192.168.1.10-192.168.1.30-0-0-0,192.168.1.30,0,192.168.1.10,0,0,16/03/2026 03:58:25 PM,4092723,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44336105815126,454747.0,537273.8150480163,1022167.0,974.0,3068556.0,1022852.0,1267.038673442922,1024314.0,1022073.0,4092723.0,818544.6,457036.7992583311,1024173.0,974.0,0,0,0,0,0,0,0.977344423260504,1.466016634890756,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,6,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label,0.68598336,ATTACK
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/03/2026 03:59:37 PM,4946628,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4043158288838376,4946628.0,0.0,4946628.0,4946628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.2021579144419188,0.2021579144419188,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label,0.45997,BENIGN
192.168.1.10-192.168.1.20-0-0-0,192.168.1.20,0,192.168.1.10,0,0,16/03/2026 03:59:37 PM,111503928,109,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.973024663310516,509150.3561643833,511612.2138752917,1030351.0,0.0,110480219.0,1022964.990740741,3501.8631262591803,1031357.0,1015145.0,111503928.0,1013672.0727272726,97491.37690145448,1031299.0,1074.0,0,0,0,0,0,0,0.9775440377311192,0.9954806255793966,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,109,0,111,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label,0.62894404,ATTACK
